Date,Description,Category,Income (Credit),Expense (Debit)
01-04-2022,Salary ,Salary ,103000.0,
01-04-2022,Interest ,Interest income ,5386.0,
01-04-2022,Kishor Gadi Bhada ,Politics ,,7000.0
01-04-2022,Pinky ,Education ,,7000.0
01-04-2022,Avenger ,Petrol/Gas ,,300.0
01-04-2022,To &Fro Bbsr ,Auto And Transport ,,440.0
01-04-2022,Sanaj Bhai Swwet ,Gifts And Donations ,,320.0
01-04-2022,Ate In Bbsr ,Food and Dining ,,123.0
01-04-2022,Snax ,Food and Dining ,,100.0
01-04-2022,RD ,Investment ,,6000.0
, , ,108386.0,21283.0
02-04-2022,Bus And auto ,Auto And Transport ,,220.0
02-04-2022,Hotel ,Hotel ,,1200.0
, , ,0.0,1420.0
03-04-2022,Breakfast ,Food and Dining ,,30.0
03-04-2022,Auto ,Auto And Transport ,,20.0
03-04-2022,Lunch ,Food and Dining ,,100.0
03-04-2022,Sulu Mobile ,Bills And Utilities ,,719.0
, , ,0.0,869.0
04-04-2022,Stiching ,Maintenance ,,30.0
04-04-2022,SAGA ,Vegetables ,,20.0
04-04-2022,Marker ,Education ,,10.0
, , ,0.0,60.0
05-04-2022,Grocery ,Groceries ,,103.0
05-04-2022,Print ,Education ,,10.0
, , ,0.0,113.0
06-04-2022,Advance ,Rent ,,34000.0
, , ,0.0,34000.0
08-04-2022,Palua Ladu ,Gifts And Donations ,,450.0
08-04-2022,Ilishi Macha ,Gifts And Donations ,,900.0
08-04-2022,Transport Shifting ,Auto And Transport ,,5000.0
, , ,0.0,6350.0
09-04-2022,Transport Shifting ,Auto And Transport ,,2000.0
09-04-2022,Mithai ,Gifts And Donations ,,150.0
09-04-2022,Boleno ,Petrol/Gas ,,1500.0
09-04-2022,Car Toll ,Toll ,,500.0
