Date,Unnamed: 0,Description,Unnamed: 1,Category,Income (Credit),Expense (Debit)
01-04-2022,Salary,,Salary,,"103,000.00",
01-04-2022,Interest,,Interest income,,"5,386.00",
01-04-2022,Kishor Gadi Bhada,,Politics,,,"7,000.00"
01-04-2022,Pinky,,Education,,,"7,000.00"
01-04-2022,Avenger,,Petrol/Gas,,,300.00
01-04-2022,To &Fro Bbsr,,Auto And Transport,,,440.00
01-04-2022,Sanaj Bhai Swwet,,Gifts And Donations,,,320.00
01-04-2022,Ate In Bbsr,,Food and Dining,,,123.00
01-04-2022,Snax,,Food and Dining,,,100.00
01-04-2022,RD,,Investment,,,"6,000.00"
,,,,,"108,386.00","21,283.00"
02-04-2022,Bus And auto,,Auto And Transport,,,220.00
02-04-2022,Hotel,,Hotel,,,"1,200.00"
,,,,,0.00,"1,420.00"
03-04-2022,Breakfast,,Food and Dining,,,30.00
03-04-2022,Auto,,Auto And Transport,,,20.00
03-04-2022,Lunch,,Food and Dining,,,100.00
03-04-2022,Sulu Mobile,,Bills And Utilities,,,719.00
,,,,,0.00,869.00
04-04-2022,Stiching,,Maintenance,,,30.00
04-04-2022,SAGA,,Vegetables,,,20.00
04-04-2022,Marker,,Education,,,10.00
,,,,,0.00,60.00
05-04-2022,Grocery,,Groceries,,,103.00
05-04-2022,Print,,Education,,,10.00
,,,,,0.00,113.00
06-04-2022,Advance,,Rent,,,"34,000.00"
,,,,,0.00,"34,000.00"
08-04-2022,Palua Ladu,,Gifts And Donations,,,450.00
08-04-2022,Ilishi Macha,,Gifts And Donations,,,900.00
08-04-2022,Transport Shifting,,Auto And Transport,,,"5,000.00"
,,,,,0.00,"6,350.00"
09-04-2022,Transport Shifting,,Auto And Transport,,,"2,000.00"
09-04-2022,Mithai,,Gifts And Donations,,,150.00
09-04-2022,Boleno,,Petrol/Gas,,,"1,500.00"
09-04-2022,Car Toll,,Toll,,,500.00
