Unnamed: 0,Unnamed: 1,Unnamed: 2,0.00,"1,465.00"
21-04-2022,Dahi BARA,Food and Dining,,30.00
21-04-2022,Pinky Shoe,Clothing,,450.00
21-04-2022,Medicines,Medicines,,55.00
21-04-2022,Grocery,Groceries,,55.00
21-04-2022,Kitchen Equiment,Household,,390.00
21-04-2022,Mirror,Household,,70.00
21-04-2022,Papuna quaterly Fee,Education,,"12,182.00"
21-04-2022,Bapa Mumy Pinky,Kids,,"3,000.00"
21-04-2022,Print Whutener,Education,,25.00
,,,0.0,"16,257.00"
22-04-2022,Fruits,Fruits,,220.00
22-04-2022,Print,Education,,10.00
22-04-2022,Bus Fare,Education,,350.00
22-04-2022,Medicine,Medicines,,58.00
22-04-2022,Print,Education,,10.00
,,,0.0,648.00
23-04-2022,Fruits,Fruits,,135.00
23-04-2022,Bread,Food and Dining,,35.00
23-04-2022,Paneer,Food and Dining,,120.00
23-04-2022,Vegetables,Vegetables,,225.00
23-04-2022,Icecreame+momo,Food and Dining,,210.00
23-04-2022,Cycle,Maintenance,,50.00
,,,0.0,775.00
24-04-2022,Breakfast,Food and Dining,,140.00
24-04-2022,Vegetables,Vegetables,,500.00
24-04-2022,Snax,Food and Dining,,225.00
24-04-2022,Pinky bapa Glass,Gifts And Donations,,300.00
24-04-2022,Scooty,Maintenance,,200.00
,,,0.0,"1,365.00"
25-04-2022,Lunch,Food and Dining,,140.00
,,,0.0,140.00
26-04-2022,Dahi BARA,Food and Dining,,40.00
26-04-2022,Petrol,Petrol/Gas,,200.00
26-04-2022,Calling Bell,Household,,170.00
26-04-2022,Papuna GB Nanda,Health,,"1,250.00"
26-04-2022,Traffic Fine,Auto And Transport,,500.00
,,,0.0,"2,160.00"
27-04-2022,Idli,Food and Dining,,20.00
27-04-2022,Paneer,Food and Dining,,144.00
27-04-2022,Dahi+ Mithadahi,Food and Dining,,180.00
27-04-2022,Cylinder Bbsr,Gas,,"1,000.00"
27-04-2022,Amulcool,Food and Dining,,100.00
,,,0.0,"1,444.00"
29-04-2022,Mutton,Food and Dining,,600.00
